gene,module,n
ANO3,grey,1238
ANKRD33,grey,1238
LAMA1,turquoise,1278
PCDHA12,turquoise,1278
CLEC4G,turquoise,1278
F13B,blue,703
COLEC10,turquoise,1278
F2RL1,turquoise,1278
TUSC3,turquoise,1278
UGT1A9,blue,703
DNAH6,blue,703
FER1L4,yellow,513
FAM180A,turquoise,1278
OLFM4,turquoise,1278
C6,blue,703
ALPK2,grey,1238
C18orf2,red,166
SH3GL3,black,147
SNURF,green,313
TMEM100,grey,1238
TJP3,grey,1238
EPS8L1,turquoise,1278
FSTL4,grey,1238
COL9A3,grey,1238
ZNF385B,blue,703
C14orf162,blue,703
MYCN,grey,1238
KRT14,grey,1238
GRM8,turquoise,1278
MT3,grey,1238
SLC17A2,blue,703
NLRP6,blue,703
GPRIN2,turquoise,1278
KEL,brown,642
SULF1,turquoise,1278
GRHL2,turquoise,1278
SLCO1A2,blue,703
KCNIP3,turquoise,1278
EXPH5,blue,703
PCDHGB5,green,313
GPR143,turquoise,1278
ATP10B,turquoise,1278
ACAN,turquoise,1278
SLIT2,green,313
553137,grey,1238
LOC654433,grey,1238
SFRP4,turquoise,1278
RPL39L,grey,1238
SEMA3C,turquoise,1278
MMP17,turquoise,1278
CA14,blue,703
AKR1C4,blue,703
TC2N,turquoise,1278
NKD2,turquoise,1278
PAPLN,turquoise,1278
CYP2C18,blue,703
GOLGA6B,blue,703
ACSL6,black,147
SLC30A3,black,147
SIX1,grey,1238
SOX9,turquoise,1278
IL6ST,green,313
IYD,blue,703
DCAF8L2,red,166
NAV3,turquoise,1278
ELFN1,blue,703
DDC,blue,703
ADORA1,turquoise,1278
GRPR,black,147
ALG1L,grey,1238
AQP4,green,313
CNR1,red,166
NCRNA00185,grey,1238
ADAMTSL2,turquoise,1278
WNT5A,grey,1238
FAM167A,turquoise,1278
EPHB2,black,147
EVPLL,blue,703
CREB3L1,turquoise,1278
ADAMDEC1,brown,642
RHOF,brown,642
AFF2,red,166
BSPRY,grey,1238
IL7R,brown,642
CTHRC1,turquoise,1278
RYR2,turquoise,1278
TCP10L,blue,703
FOXP2,green,313
SLAIN1,brown,642
PRDM16,turquoise,1278
TMEM125,turquoise,1278
CD300LG,blue,703
MMP1,yellow,513
FAP,turquoise,1278
PPP1R1C,grey,1238
LDLRAD1,grey,1238
TRPV4,turquoise,1278
PCP4L1,blue,703
MNX1,turquoise,1278
SLC27A5,blue,703
STEAP1,grey,1238
LGI3,black,147
NR0B1,yellow,513
NPTXR,turquoise,1278
CACNA1I,black,147
KRT6C,grey,1238
CHP2,grey,1238
USP43,grey,1238
ZG16B,turquoise,1278
ANO9,brown,642
LOC284749,yellow,513
LIF,brown,642
CES4,blue,703
ARPP21,blue,703
ITGB6,turquoise,1278
PACSIN1,yellow,513
ZNF676,grey,1238
FAM21A,green,313
FAM19A4,grey,1238
TDGF3,grey,1238
FMO3,blue,703
MPZ,grey,1238
SLC16A11,blue,703
MAGEA8,red,166
EGLN3,brown,642
NCRNA00176,black,147
SULT2B1,grey,1238
BRSK2,turquoise,1278
SPON1,turquoise,1278
FAM83F,turquoise,1278
PLXNA4,turquoise,1278
NLRP2,brown,642
TMSB4Y,grey,1238
COL14A1,turquoise,1278
MST1R,turquoise,1278
HSD3B1,blue,703
PTK6,turquoise,1278
SEC14L4,green,313
SAMD12,turquoise,1278
TTC39A,turquoise,1278
LST-3TM12,black,147
AQP10,yellow,513
PCDHA6,grey,1238
OSTBETA,grey,1238
CKB,grey,1238
AKR1CL1,blue,703
PKLR,blue,703
FGL1,blue,703
ALDH1A3,turquoise,1278
ARHGEF16,turquoise,1278
MCTP2,turquoise,1278
ADRA2A,turquoise,1278
SLC4A11,turquoise,1278
CNGA1,blue,703
LOC96610,brown,642
HHIP,turquoise,1278
SLCO1B1,blue,703
HOXD9,grey,1238
MIOX,yellow,513
SCUBE2,grey,1238
GABRP,turquoise,1278
ITLN2,grey,1238
ACHE,turquoise,1278
MS4A1,brown,642
MTTP,blue,703
LIPH,turquoise,1278
HPX,blue,703
CNKSR2,green,313
ANGPTL1,turquoise,1278
C4BPA,blue,703
WNT11,grey,1238
C12orf56,red,166
C6orf141,turquoise,1278
CPN2,blue,703
HAVCR1,yellow,513
SGPP2,turquoise,1278
SPINK5,grey,1238
KRT16,grey,1238
FCGR2B,brown,642
FAM150B,turquoise,1278
PKIB,brown,642
RANBP3L,blue,703
EDIL3,green,313
MRGPRF,turquoise,1278
ABCB5,grey,1238
