Hugo_Symbol,GATA2-High,GATA2-Low,pval,or,ci.up,ci.low,adjPval
DOCK4,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
EGFLAM,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
EML5,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
EPG5,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
EPHB3,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
EPPK1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
FBXL7,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
FILIP1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
IGF2R,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
ITGAD,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
ITIH5,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
KCNT1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
LAMA2,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
MECOM,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
MGAM,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
NLRP3,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
OR51G1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
PCDH18,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
PSD2,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
SCRIB,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
SLC26A7,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
SLC8A1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
SPTBN5,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
TLN1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
TRPM8,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
ZNF804A,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
ZSWIM6,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
ADAMTS9,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
ATRNL1,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
CELSR2,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
CRB1,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
GPR158,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
GRIA2,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
HECW2,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
HGF,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
HNF1A,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
IL6ST,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
KANK1,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
MROH2B,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
MYH8,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
NAV3,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
NLRP12,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
PTPN14,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
PTPRT,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
RNF213,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
SPAG17,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
SPHKAP,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
SRCAP,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
TACC2,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
ZFPM2,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
ZNF318,5,4,0.749723186258412,1.27082231357307,6.51562406826458,0.268585253653978,0.922424732877115
ALMS1,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
BRD7,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
BRINP3,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
CDH7,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
COL7A1,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
DOCK8,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
DUSP27,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
EVPL,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
FSIP2,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
HERC1,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
IGF1R,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
MKI67,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
PKD1L1,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
SDK2,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
SEMA3E,4,6,0.750440311799219,0.667416566595297,2.87034497028645,0.13611667406251,0.922424732877115
COL5A1,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
MXRA5,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
SLC9C1,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
STAB2,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
TENM4,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
TMEM132D,6,5,0.769922222324471,1.22024879081608,5.15432034801863,0.30396975059868,0.922424732877115
ABCA4,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
ATM,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
C3,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
EVC2,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
GLI3,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
KIAA0947,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
MYO10,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
MYO18B,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
NLGN1,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
PLCB1,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
PREX1,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
ROBO2,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
SI,5,7,0.770585270675121,0.714955029855488,2.67449332278352,0.17538934972303,0.922424732877115
CSMD2,7,6,0.785740661547119,1.18656496778448,4.3678510033461,0.333858485706791,0.927601426481593
LRRK2,7,6,0.785740661547119,1.18656496778448,4.3678510033461,0.333858485706791,0.927601426481593
MYCBP2,7,6,0.785740661547119,1.18656496778448,4.3678510033461,0.333858485706791,0.927601426481593
TSC2,7,6,0.785740661547119,1.18656496778448,4.3678510033461,0.333858485706791,0.927601426481593
DCHS2,6,8,0.786361703107852,0.7506020808561,2.52602511448464,0.209948074710512,0.927601426481593
DNAH1,6,8,0.786361703107852,0.7506020808561,2.52602511448464,0.209948074710512,0.927601426481593
PLXNA4,6,8,0.786361703107852,0.7506020808561,2.52602511448464,0.209948074710512,0.927601426481593
PTPRB,6,8,0.786361703107852,0.7506020808561,2.52602511448464,0.209948074710512,0.927601426481593
RP1,6,8,0.786361703107852,0.7506020808561,2.52602511448464,0.209948074710512,0.927601426481593
DCHS1,7,9,0.799136962560161,0.778323824142621,2.40923712457119,0.240470262863978,0.938117303874971
DNAH9,7,9,0.799136962560161,0.778323824142621,2.40923712457119,0.240470262863978,0.938117303874971
FAT4,7,9,0.799136962560161,0.778323824142621,2.40923712457119,0.240470262863978,0.938117303874971
PKHD1,9,8,0.809186640196852,1.14453689015628,3.49718589242669,0.381854741949316,0.94448797953873
EYS,8,10,0.809746210166949,0.800498996201373,2.31468043590235,0.26752925869561,0.94448797953873
LAMA1,8,10,0.809746210166949,0.800498996201373,2.31468043590235,0.26752925869561,0.94448797953873
PREX2,8,10,0.809746210166949,0.800498996201373,2.31468043590235,0.26752925869561,0.94448797953873
FBN2,9,11,0.818732012536315,0.818640917178011,2.23638161295068,0.291668858319926,0.951922866250357
PCDH15,9,11,0.818732012536315,0.818640917178011,2.23638161295068,0.291668858319926,0.951922866250357
CUBN,11,10,0.825947629035677,1.11940625957166,3.02608469227889,0.419123455749412,0.958783155361478
CSMD1,11,13,0.833204243601429,0.846549215720626,2.1138691460364,0.332978793905196,0.964136339024511
